"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013958","1939-04","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","123.6","0","83.9",",0","3",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","5",",0","","","","","19390408",",,0","19390430","+,,0","19390430","+,,0","","","19390427",",,0","19390402",",,0","1.1",",0,08,","0",",,0,30,+","0",",,0,30,+","43.2",",,0,27,","36.7",",0,02,","","","899.2","0","","","30.0",",0","","","","","","","","","","","","","","","57.5",",,,0","","","","","","","","","0",",,,0","20.13",",0","27.66",",,,0","12.60",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1939-05","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","336.6","0","213.0",",0","4",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","","","","","19390501",",,0","19390531","+,,0","19390531","+,,0","","","19390513",",,0","19390521",",,0","13.9",",0,01,","0",",,0,31,+","0",",,0,31,+","14.2",",,0,13,","37.2",",0,21,","","","899.2","0","","","0.0",",0","","","","","","","","","","","","","","","34.3",",,,0","","","","","","","","","0",",,,0","25.20",",0","31.81",",,,0","18.60",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1939-06","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","613.5","0","276.9","1,0","6",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","30",",0","25",",0","","","","","19390601",",1,0","19390630","+,,0","19390630","+,,0","","","19390604",",,0","19390615",",,0","18.3","1,0,01,","0",",,0,30,+","0",",,0,30,+","8.9",",,0,04,","38.3",",0,15,","","","899.2","0","","","0.0",",0","","","","","","","","","","","","","","","27.6",",,,0","","","","","","","","","0",",,,0","27.92","1,0","34.41",",,,0","21.43","1,,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1939-07","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","952.5","0","339.0",",0","8",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","29",",0","","","","","19390706",",,0","19390731","+,,0","19390731","+,,0","","","19390729",",,0","19390708",",,0","19.4",",0,06,","0",",,0,31,+","0",",,0,31,+","52.1",",,0,29,","42.2",",0,08,","","","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","139.2",",,,0","","","","","","","","","0",",,,0","29.27",",0","36.00",",,,0","22.54",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1939-08","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","1258.1","0","305.6",",0","6",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","28",",0","","","","","19390829",",,0","19390831","+,,0","19390831","+,,0","","","19390805",",,0","19390816",",,0","18.9",",0,29,","0",",,0,31,+","0",",,0,31,+","43.7",",,0,05,","38.3",",0,16,","","","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","77.5",",,,0","","","","","","","","","0",",,,0","28.19",",0","34.80",",,,0","21.58",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1939-09","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","1521.1","0","263.0",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","27",",0","","","","","19390930",",,0","19390930","+,,0","19390930","+,,0","","","19390910",",,0","19390903","+,,0","13.3",",0,30,","0",",,0,30,+","0",",,0,30,+","7.9",",,0,10,","38.9",",0,03,+","","","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","25.4",",,,0","","","","","","","","","0",",,,0","27.10",",0","34.29",",,,0","19.91",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1939-10","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","1652.1","0","131.0",",0","8",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","9",",0","","","","","19391031",",,0","19391031","+,,0","19391031","+,,0","","","19391025",",,0","19391022","+,,0","3.3",",0,31,","0",",,0,31,+","0",",,0,31,+","31.5",",,0,25,","34.4",",0,22,+","","","13.4","0","","","13.4",",0","","","","","","","","","","","","","","","44.9",",,,0","","","","","","","","","0",",,,0","22.13",",0","29.05",",,,0","15.21",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1939-11","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","1656.1","0","4.0",",0","8",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","","","","","19391126","+,,0","19391130","+,,0","19391130","+,,0","","","19391111",",,0","19391110","+,,0","1.7",",0,26,+","0",",,0,30,+","0",",,0,30,+","36.1",",,0,11,","27.8",",0,10,+","","","169.8","0","","","156.4",",0","","","","","","","","","","","","","","","57.5",",,,0","","","","","","","","","0",",,,0","13.25",",0","19.04",",,,0","7.46",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1939-12","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","1657.5","0","1.4",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","17",",0","0",",0","","","","","19391229",",,0","19391231","+,,0","19391228","+,,0","","","19391225",",,0","19391211",",,0","-4.4",",0,29,","0",",,0,31,+","0",",T,0,28,+","9.9",",,0,25,","27.8",",0,11,","","","353.2","0","","","183.4",",0","","","","","","","","","","","","","","","19.8",",,,0","","","","","","","","","0",",T,,0","12.46",",0","20.02",",,,0","4.91",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1940-01","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","0.0","0","0.0",",0","5",",0","2",",0","0",",0","2",",0","1",",0","0",",0","21",",0","2",",0","2",",0","0",",0","","","","","19400119",",,0","19400122",",,0","19400122",",,0","","","19400106",",,0","19400111",",,0","-12.2",",0,19,","51",",,0,22,","51",",,0,22,","12.2",",,0,06,","24.4",",0,11,","","","794.4","0","","","441.2",",0","","","","","","","","","","","","","","","18.6",",,,0","","","","","","","","","51",",,,0","4.10",",0","10.52",",,,0","-2.32",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1940-02","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","8.3","0","8.3",",0","8",",0","7",",0","2",",0","0",",0","0",",0","0",",0","6",",0","0",",0","6",",0","1",",0","","","","","19400210",",,0","19400229","+,,0","19400209",",,0","","","19400203",",,0","19400229",",,0","-3.3",",0,10,","0",",,0,29,+","0",",T,0,09,","32.3",",,0,03,","32.2",",0,29,","","","1014.8","0","","","220.4",",0","","","","","","","","","","","","","","","94.0",",,,0","","","","","","","","","0",",T,,0","11.02",",0","17.71",",,,0","4.33",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1940-03","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","31.5","0","23.2",",0","6",",0","5",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","23",",0","0",",0","","","","","19400314",",,0","19400331","+,,0","19400331","+,,0","","","19400327","+,,0","19400331","+,,0","-1.7",",0,14,","0",",,0,31,+","0",",,0,31,+","7.9",",,0,27,+","30.0",",0,31,+","","","1113.7","0","","","98.9",",0","","","","","","","","","","","","","","","31.0",",,,0","","","","","","","","","0",",,,0","15.89",",0","22.84",",,,0","8.95",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1940-04","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","94.6","0","63.1",",0","10",",0","6",",0","2",",0","0",",0","0",",0","0",",0","1",",0","0",",0","26",",0","2",",0","","","","","19400413",",,0","19400430","+,,0","19400430","+,,0","","","19400406",",,0","19400422",",,0","-0.6",",0,13,","0",",,0,30,+","0",",,0,30,+","71.6",",,0,06,","32.8",",0,22,","","","1170.7","0","","","57.0",",0","","","","","","","","","","","","","","","148.7",",,,0","","","","","","","","","0",",,,0","18.54",",0","25.32",",,,0","11.75",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1940-05","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","239.9","0","145.3",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","10",",0","","","","","19400502",",,0","19400531","+,,0","19400531","+,,0","","","19400522",",,0","19400518",",,0","10.0",",0,02,","0",",,0,31,+","0",",,0,31,+","14.5",",,0,22,","35.0",",0,18,","","","1170.7","0","","","0.0",",0","","","","","","","","","","","","","","","26.7",",,,0","","","","","","","","","0",",,,0","23.02",",0","30.04",",,,0","16.00",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1940-06","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","451.7","0","211.8",",0","13",",0","12",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","15",",0","","","","","19400612",",,0","19400630","+,,0","19400630","+,,0","","","19400629",",,0","19400628",",,0","14.4",",0,12,","0",",,0,30,+","0",",,0,30,+","76.2",",,0,29,","35.6",",0,28,","","","1170.7","0","","","0.0",",0","","","","","","","","","","","","","","","195.3",",,,0","","","","","","","","","0",",,,0","25.39",",0","31.34",",,,0","19.45",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1940-07","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","736.9","0","285.2",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","25",",0","","","","","19400705",",,0","19400731","+,,0","19400731","+,,0","","","19400712",",,0","19400709",",,0","17.8",",0,05,","0",",,0,31,+","0",",,0,31,+","9.9",",,0,12,","37.2",",0,09,","","","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","31.0",",,,0","","","","","","","","","0",",,,0","27.53",",0","33.58",",,,0","21.49",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1940-08","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","1049.2","0","312.3",",0","2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","27",",0","","","","","19400821",",,0","19400831","+,,0","19400831","+,,0","","","19400829",",,0","19400828",",,0","15.6",",0,21,","0",",,0,31,+","0",",,0,31,+","18.8",",,0,29,","38.9",",0,28,","","","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","32.5",",,,0","","","","","","","","","0",",,,0","28.41",",0","35.23",",,,0","21.59",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1940-09","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","1247.9","0","198.7",",0","3",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","18",",0","","","","","19400927",",,0","19400930","+,,0","19400930","+,,0","","","19400922",",,0","19400910",",,0","9.4",",0,27,","0",",,0,30,+","0",",,0,30,+","52.6",",,0,22,","38.3",",0,10,","","","1.1","0","","","1.1",",0","","","","","","","","","","","","","","","63.8",",,,0","","","","","","","","","0",",,,0","24.92",",0","31.98",",,,0","17.86",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1940-10","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","1348.0","0","100.1",",0","10",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","4",",0","","","","","19401016",",,0","19401031","+,,0","19401031","+,,0","","","19401031",",,0","19401006",",,0","6.7",",0,16,","0",",,0,31,+","0",",,0,31,+","39.6",",,0,31,","33.3",",0,06,","","","9.7","0","","","8.6",",0","","","","","","","","","","","","","","","79.1",",,,0","","","","","","","","","0",",,,0","21.28",",0","28.39",",,,0","14.18",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1940-11","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","1357.7","0","9.7",",0","11",",0","9",",0","1",",0","0",",0","0",",0","0",",0","4",",0","0",",0","15",",0","0",",0","","","","","19401114",",,0","19401130","+,,0","19401130","+,,0","","","19401124",",,0","19401123",",,0","-3.9",",0,14,","0",",,0,30,+","0",",,0,30,+","40.6",",,0,24,","26.1",",0,23,","","","157.7","0","","","148.0",",0","","","","","","","","","","","","","","","130.4",",,,0","","","","","","","","","0",",,,0","13.72",",0","19.05",",,,0","8.39",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1940-12","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","1358.0","0","0.3",",0","13",",0","6",",0","2",",0","0",",0","0",",0","0",",0","2",",0","0",",0","6",",0","0",",0","","","","","19401216",",,0","19401231","+,,0","19401231","+,,0","","","19401211",",,0","19401228",",,0","-1.1",",0,16,","0",",,0,31,+","0",",,0,31,+","50.0",",,0,11,","22.2",",0,28,","","","358.9","0","","","201.2",",0","","","","","","","","","","","","","","","138.7",",,,0","","","","","","","","","0",",,,0","11.85",",0","16.95",",,,0","6.75",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1941-01","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","2.3","0","2.3",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","5",",0","0",",0","","","","","19410119",",,0","19410131","+,,0","19410131","+,,0","","","19410131",",,0","19410101",",,0","-3.3",",0,19,","0",",,0,31,+","0",",,0,31,+","19.6",",,0,31,","25.6",",0,01,","","","566.0","0","","","207.1",",0","","","","","","","","","","","","","","","39.4",",,,0","","","","","","","","","0",",,,0","11.72",",0","17.05",",,,0","6.40",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1941-02","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","2.3","0","0.0",",0","9",",0","7",",0","1",",0","0",",0","0",",0","0",",0","2",",0","0",",0","3",",0","0",",0","","","","","19410209",",,0","19410228","+,,0","19410228","+,,0","","","19410201",",,0","19410212",",,0","-1.1",",0,09,","0",",,0,28,+","0",",,0,28,+","34.0",",,0,01,","23.3",",0,12,","","","795.5","0","","","229.5",",0","","","","","","","","","","","","","","","76.2",",,,0","","","","","","","","","0",",,,0","10.14",",0","15.08",",,,0","5.20",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1941-03","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","5.6","0","3.3",",0","9",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","","","","","19410318",",,0","19410331","+,,0","19410331","+,,0","","","19410317",",,0","19410331",",,0","0.6",",0,18,","0",",,0,31,+","0",",,0,31,+","46.2",",,0,17,","28.9",",0,31,","","","980.9","0","","","185.4",",0","","","","","","","","","","","","","","","115.6",",,,0","","","","","","","","","0",",,,0","12.46",",0","18.08",",,,0","6.84",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1941-04","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","","","","","","","","","55.0","0","49.4",",0","16",",0","10",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","0",",0","","","","","19410405",",,0","19410430","+,,0","19410430","+,,0","","","19410426",",,0","19410417",",,0","7.8",",0,05,","0",",,0,30,+","0",",,0,30,+","31.2",",,0,26,","30.0",",0,17,","","","1003.3","0","","","22.4",",0","","","","","","","","","","","","","","","135.5",",,,0","","","","","","","","","0",",,,0","19.23",",0","23.92",",,,0","14.54",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
